b	NotreDame_De_Paris.txt 20, Miserables.txt 49
babble	Miserables.txt 3
babbled	Miserables.txt 2
babbler	Miserables.txt 2
babbles	Miserables.txt 1
babblings	NotreDame_De_Paris.txt 1
babe	NotreDame_De_Paris.txt 2, Miserables.txt 2
babel	NotreDame_De_Paris.txt 4, Miserables.txt 2
babes	NotreDame_De_Paris.txt 1, Miserables.txt 4
babet	Miserables.txt 49
babeuf	Miserables.txt 4
babilles	Miserables.txt 1
babouvist	Miserables.txt 1
baby	NotreDame_De_Paris.txt 1, Miserables.txt 6
babylon	NotreDame_De_Paris.txt 2, Miserables.txt 7
babylone	Miserables.txt 13
baccalaureat	Miserables.txt 1
bacchanal	NotreDame_De_Paris.txt 2, Miserables.txt 1
bacchanalia	Miserables.txt 1
bacchanalian	NotreDame_De_Paris.txt 1
bacchanals	NotreDame_De_Paris.txt 1
bacchante	NotreDame_De_Paris.txt 1
bacche	Miserables.txt 1
bacchic	NotreDame_De_Paris.txt 2
bachelor	NotreDame_De_Paris.txt 1, Miserables.txt 2
bachelors	Miserables.txt 1
bachelu	Miserables.txt 1
bacheux	Miserables.txt 1
back	NotreDame_De_Paris.txt 124, Miserables.txt 423
backbone	Miserables.txt 2
backed	NotreDame_De_Paris.txt 4, Miserables.txt 10
background	NotreDame_De_Paris.txt 7, Miserables.txt 17
backgrounds	NotreDame_De_Paris.txt 1
backing	Miserables.txt 1
backs	NotreDame_De_Paris.txt 3, Miserables.txt 16
backsliders	Miserables.txt 1
backward	NotreDame_De_Paris.txt 4, Miserables.txt 6
backwards	NotreDame_De_Paris.txt 7, Miserables.txt 11
bacon	NotreDame_De_Paris.txt 2, Miserables.txt 6
bacot	Miserables.txt 1
bacqueville	NotreDame_De_Paris.txt 1
bad	NotreDame_De_Paris.txt 26, Miserables.txt 107
badajoz	Miserables.txt 3
bade	Miserables.txt 6
badly	NotreDame_De_Paris.txt 17, Miserables.txt 55
baeust	NotreDame_De_Paris.txt 1
baffled	Miserables.txt 1
bag	NotreDame_De_Paris.txt 10, Miserables.txt 10
bagauda	NotreDame_De_Paris.txt 1
baggage	NotreDame_De_Paris.txt 1, Miserables.txt 4
bagpipe	Miserables.txt 1
bagpipes	Miserables.txt 2
bagration	Miserables.txt 2
bags	Miserables.txt 2
bah	NotreDame_De_Paris.txt 10, Miserables.txt 34
bahorel	Miserables.txt 36
baignoire	Miserables.txt 1
bailiff	NotreDame_De_Paris.txt 41, Miserables.txt 5
bailiffs	NotreDame_De_Paris.txt 4
bailiwick	NotreDame_De_Paris.txt 3
bailiwicks	NotreDame_De_Paris.txt 2
baillet	NotreDame_De_Paris.txt 1
baisais	Miserables.txt 1
baiser	Miserables.txt 1
bake	Miserables.txt 1
baked	NotreDame_De_Paris.txt 1
bakehouse	NotreDame_De_Paris.txt 1
bakehouses	NotreDame_De_Paris.txt 1
baker	NotreDame_De_Paris.txt 4, Miserables.txt 22
bakery	NotreDame_De_Paris.txt 1
bakeshop	Miserables.txt 1
bal	Miserables.txt 1
balaguier	Miserables.txt 1
balance	NotreDame_De_Paris.txt 4, Miserables.txt 15
balanced	NotreDame_De_Paris.txt 1, Miserables.txt 4
balances	Miserables.txt 1
balancing	NotreDame_De_Paris.txt 1, Miserables.txt 1
balatro	Miserables.txt 1
balconies	Miserables.txt 3
balcony	NotreDame_De_Paris.txt 19, Miserables.txt 5
bald	NotreDame_De_Paris.txt 13, Miserables.txt 13
baldness	Miserables.txt 1
baldrick	NotreDame_De_Paris.txt 1
baldy	Miserables.txt 1
bale	Miserables.txt 1
balearic	Miserables.txt 2
baleful	Miserables.txt 3
bales	Miserables.txt 1
bali	NotreDame_De_Paris.txt 1
baliffre	NotreDame_De_Paris.txt 1
balizard	Miserables.txt 4
balked	NotreDame_De_Paris.txt 1
ball	NotreDame_De_Paris.txt 3, Miserables.txt 45
ballad	NotreDame_De_Paris.txt 1, Miserables.txt 1
ballads	Miserables.txt 1
ballast	NotreDame_De_Paris.txt 1
ballestas	NotreDame_De_Paris.txt 1
ballesteros	Miserables.txt 1
ballet	NotreDame_De_Paris.txt 1, Miserables.txt 2
ballets	Miserables.txt 4
ballistic	Miserables.txt 1
balloon	NotreDame_De_Paris.txt 1, Miserables.txt 1
balloons	Miserables.txt 1
ballot	Miserables.txt 1
balloting	Miserables.txt 1
balls	NotreDame_De_Paris.txt 3, Miserables.txt 33
balm	Miserables.txt 1
baloup	Miserables.txt 7
balue	NotreDame_De_Paris.txt 4
baluster	Miserables.txt 1
balusters	Miserables.txt 2
balustrade	NotreDame_De_Paris.txt 25, Miserables.txt 2
balustrades	NotreDame_De_Paris.txt 3
balzac	Miserables.txt 2
bamatabnois	Miserables.txt 1
bamatabois	Miserables.txt 5
bambino	Miserables.txt 1
bamboche	Miserables.txt 1
bambochel	Miserables.txt 1
bamboo	Miserables.txt 1
ban	Miserables.txt 10
bancroche	Miserables.txt 1
band	NotreDame_De_Paris.txt 14, Miserables.txt 25
bandage	Miserables.txt 3
bandaged	Miserables.txt 6
bandages	NotreDame_De_Paris.txt 1, Miserables.txt 4
bandbox	Miserables.txt 1
banded	NotreDame_De_Paris.txt 2
banderas	NotreDame_De_Paris.txt 1
banderilleras	NotreDame_De_Paris.txt 1
bandit	NotreDame_De_Paris.txt 2, Miserables.txt 7
banditism	Miserables.txt 1
bandits	NotreDame_De_Paris.txt 1, Miserables.txt 4
bands	NotreDame_De_Paris.txt 3, Miserables.txt 7
bandy	NotreDame_De_Paris.txt 3, Miserables.txt 1
banes	Miserables.txt 1
bang	Miserables.txt 3
banged	Miserables.txt 1
banished	NotreDame_De_Paris.txt 1, Miserables.txt 2
banishes	Miserables.txt 1
banishment	Miserables.txt 1
bank	NotreDame_De_Paris.txt 21, Miserables.txt 53
banker	Miserables.txt 5
bankeress	Miserables.txt 1
bankers	Miserables.txt 2
banknote	Miserables.txt 1
bankrupt	Miserables.txt 7
bankruptcies	Miserables.txt 1
bankruptcy	Miserables.txt 6
bankrupted	Miserables.txt 2
banks	NotreDame_De_Paris.txt 5, Miserables.txt 12
banlieue	NotreDame_De_Paris.txt 1, Miserables.txt 9
banner	NotreDame_De_Paris.txt 5, Miserables.txt 4
bannerel	Miserables.txt 1
banneret	NotreDame_De_Paris.txt 1
bannerets	NotreDame_De_Paris.txt 2
banners	NotreDame_De_Paris.txt 5, Miserables.txt 1
banns	Miserables.txt 1
banquet	Miserables.txt 3
banquets	Miserables.txt 2
banquette	Miserables.txt 4
banquier	Miserables.txt 11
bans	Miserables.txt 1
bantering	NotreDame_De_Paris.txt 2, Miserables.txt 2
baour	Miserables.txt 1
baptism	NotreDame_De_Paris.txt 1
baptismal	NotreDame_De_Paris.txt 2, Miserables.txt 5
baptisms	Miserables.txt 1
baptist	NotreDame_De_Paris.txt 2
baptiste	NotreDame_De_Paris.txt 2
baptistine	Miserables.txt 28
baptized	NotreDame_De_Paris.txt 2, Miserables.txt 3
bar	NotreDame_De_Paris.txt 4, Miserables.txt 49
barabbas	Miserables.txt 1
barague	Miserables.txt 1
barant	Miserables.txt 1
baranton	Miserables.txt 1
barbari	Miserables.txt 1
barbarian	NotreDame_De_Paris.txt 2, Miserables.txt 1
